"Source1","Source2"
"Mahakeliya-KU0042-18G/1652-23-ODU-1(RTNRF-1)","Kudagalgamuwa_Etisalat-KU0229-18G/1652-23-ODU-1(RTNRF-1)"
,
"Nagarapura-PO0083-18G/1755-23-ODU-1(RTNRF-1)","Medirigiriya Town-PO0008-18G/1755-23-ODU-1(RTNRF-1)"
,
"Sungawila-PO0030-13G/751-23-ODU-1(RTNRF-1)","Jayanthipura-PO0006-13G/751-23-ODU-1(RTNRF-1)"
,
"Balummahara DAP-GM0058-18G/1899-23-ODU-1(RTNRF-1)","Buthpitiya_Suntel-GM0549-18G/1899-23-ODU-1(RTNRF-1)"
,
"KANCHARANKUDA-BA0084-13G/949-23-ODU-1(RTNRF-1)","KATTANKUDY-BA0004-13G/949-23-ODU-1(RTNRF-1)"
,
"Sittandy-BA0010-18G/1737-23-ODU-1(RTNRF-1)","Palachcholai-BA0054-18G/1737-23-ODU-1(RTNRF-1)"
,
"Sittandy-BA0010-18G/1737-24-ODU-1(RTNRF-1)","Palachcholai-BA0054-18G/1737-24-ODU-1(RTNRF-1)"
,
"Athurugiriya_Town-CM0184-18G/1236-23-ODU-1(RTNRF-1)","Malabe_South-CM0424-18G/1236-23-ODU-1(RTNRF-1)"
,
"Athurugiriya_Town-CM0184-18G/1236-24-ODU-1(RTNRF-1)","Malabe_South-CM0424-18G/1236-24-ODU-1(RTNRF-1)"
,
"Kadawatha_South-GM0126-18G/1460-23-ODU-1(RTNRF-1)","Eldeniya_Relocation-GM0536-18G/1460-23-ODU-1(RTNRF-1)"
,
"Katupotha-KU0020-18G/1665-23-ODU-1(RTNRF-1)","Kirimetiyawa-KU0109-18G/1665-23-ODU-1(RTNRF-1)"
,
"Seruwila_North-TR0030-18G/817-23-ODU-1(RTNRF-1)","Seruwila-TR0026-18G/817-23-ODU-1(RTNRF-1)"
,
"Kiralabokka-KU0056-18G/1801-23-ODU-1(RTNRF-1)","Kanotuwa-KU0152-18G/1801-23-ODU-1(RTNRF-1)"
,
"Kala_Traders-CM0260-23G/866-23-ODU-1(RTNRF-1)","Hedges_Court_Ind-CM0764-23G/866-23-ODU-1(RTNRF-1)"
,
"Kala_Traders-CM0260-23G/866-24-ODU-1(RTNRF-1)","Hedges_Court_Ind-CM0764-23G/866-24-ODU-1(RTNRF-1)"
,
"House_Of_Fashion_Ind-CM1267-23G/1500-23-ODU-1(RTNRF-1)","Kala_Traders-CM0260-23G/1500-23-ODU-1(RTNRF-1)"
,
"Negombo_Town-GM0376-23G/1489-23-ODU-1(RTNRF-1)","Negombo-GM0037-23G/1489-23-ODU-1(RTNRF-1)"
,
"Negombo_Town-GM0376-23G/1489-25-ODU-1(RTNRF-1)","Negombo-GM0037-23G/1489-25-ODU-1(RTNRF-1)"
,
"Akbar_DAP-CM0743-23G/1721-23-ODU-1(RTNRF-1)","Ballys_Colombo_IBS-CM0685-23G/1721-23-ODU-1(RTNRF-1)"
,
"Akbar_DAP-CM0743-23G/1721-24-ODU-1(RTNRF-1)","Ballys_Colombo_IBS-CM0685-23G/1721-24-ODU-1(RTNRF-1)"
,
"Browns_Hospital-GM0747-26G/1486-23-ODU-1(RTNRF-1)","Ragama-GM0042-26G/1486-23-ODU-1(RTNRF-1)"
,
"Browns_Hospital-GM0747-26G/1486-24-ODU-1(RTNRF-1)","Ragama-GM0042-26G/1486-24-ODU-1(RTNRF-1)"
,
"Negombo-GM0037-23G/1065-23-ODU-1(RTNRF-1)","Negombo_Green_Rd-GM0122-23G/1065-23-ODU-1(RTNRF-1)"
,
"Negombo-GM0037-23G/1065-24-ODU-1(RTNRF-1)","Negombo_Green_Rd-GM0122-23G/1065-24-ODU-1(RTNRF-1)"
,
"Bingiriya-KU0001-18G/1533-23-ODU-1(RTNRF-1)","Panirendawa-PU0092-18G/1533-23-ODU-1(RTNRF-1)"
,
"Bandara_Koswatta-KU0092-18G/1124-23-ODU-1(RTNRF-1)","Wariyapola_West-KU0048-18G/1124-23-ODU-1(RTNRF-1)"
,
"Bandara_Koswatta-KU0092-18G/1124-24-ODU-1(RTNRF-1)","Wariyapola_West-KU0048-18G/1124-24-ODU-1(RTNRF-1)"
,
"Mahawatta_Road-CM0517-26G/1184-23-ODU-1(RTNRF-1)","Kotahena_North-CM0209-26G/1184-23-ODU-1(RTNRF-1)"
,
"Mahawatta_Road-CM0517-26G/1184-24-ODU-1(RTNRF-1)","Kotahena_North-CM0209-26G/1184-24-ODU-1(RTNRF-1)"
,
"Piriyamaduwa-AN0069-13G/945-23-ODU-1(RTNRF-1)","Upuldeniya-AN0072-13G/945-23-ODU-1(RTNRF-1)"
,
"Katupotha_East-KU0341-18G/1802-23-ODU-1(RTNRF-1)","Bamunakotuwa-KU0102-18G/1802-23-ODU-1(RTNRF-1)"
,
"Warawewa-KU0232-15G/967-23-ODU-1(RTNRF-1)","Kala_Oya-AN0037-15G/967-23-ODU-1(RTNRF-1)"
,
"AM0008-Ampara_MTN-13G/947-23-ODU-1(RTNRF-1)","AM0122-Galahitiyagoda-13G/947-23-ODU-1(RTNRF-1)"
,
"Irattaperiyakulama_Dialog-VA0072-18G/1324-23-ODU-1(RTNRF-1)","Thekkanthoddam-VA0040-18G/1324-23-ODU-1(RTNRF-1)"
,
"Irattaperiyakulama_Dialog-VA0072-18G/1324-24-ODU-1(RTNRF-1)","Thekkanthoddam-VA0040-18G/1324-24-ODU-1(RTNRF-1)"
,
"Arangala-CM0236-23G/721-23-ODU-1(RTNRF-1)","Malabe_South-CM0424-23G/721-23-ODU-1(RTNRF-1)"
,
"Arangala-CM0236-23G/721-24-ODU-1(RTNRF-1)","Malabe_South-CM0424-23G/721-24-ODU-1(RTNRF-1)"
,
"Asiri_Surgical_Out-CM0207-18G/713-23-ODU-1(RTNRF-1)","Nawala_Town-CM0074-18G/713-23-ODU-1(RTNRF-1)"
,
"Asiri_Surgical_Out-CM0207-18G/713-24-ODU-1(RTNRF-1)","Nawala_Town-CM0074-18G/713-24-ODU-1(RTNRF-1)"
,
"Mulathivu SLAF-MU0062-13G/517-23-ODU-1(RTNRF-1)","Oddusudan_DTL-MU0022-13G/517-23-ODU-1(RTNRF-1)"
,
"Thambuttegama_Dialog-AN0011-18G/1863-23-ODU-1(RTNRF-1)","Thambuttegama_South-AN0147-18G/1863-23-ODU-1(RTNRF-1)"
,
"Chunnakam_DTP-JA0011-15G/692-23-ODU-1(RTNRF-1)","Kankasanthure-JA0013-15G/692-23-ODU-1(RTNRF-1)"
,
"Chunnakam_DTP-JA0011-15G/692-24-ODU-1(RTNRF-1)","Kankasanthure-JA0013-15G/692-24-ODU-1(RTNRF-1)"
,
"Kelaniya-GM0027-23G/895-23-ODU-1(RTNRF-1)","Kelaniya_North-GM0104-23G/895-23-ODU-1(RTNRF-1)"
,
"Kelaniya-GM0027-23G/895-24-ODU-1(RTNRF-1)","Kelaniya_North-GM0104-23G/895-24-ODU-1(RTNRF-1)"
,
"Taulpadu_Town_Dialog-MA0055-15G/997-23-ODU-1(RTNRF-1)","Mannar_Dialog(Thallady)-MA0004-15G/997-23-ODU-1(RTNRF-1)"
,
"Mahawela_Gardens-CM0421-26G/806-23-ODU-1(RTNRF-1)","Ascon_Ind-CM0786-26G/806-23-ODU-1(RTNRF-1)"
,
"Mahawela_Gardens-CM0421-26G/806-24-ODU-1(RTNRF-1)","Ascon_Ind-CM0786-26G/806-24-ODU-1(RTNRF-1)"
,
"AKUREGODA_EAST-CM0914-23G/1622-23-ODU-1(RTNRF-1)","MALABE_SOUTH-CM0424-23G/1622-23-ODU-1(RTNRF-1)"
,
"Kumbukwewa-KU0071-13G/822-23-ODU-1(RTNRF-1)","Maeliya-KU0106-13G/822-23-ODU-1(RTNRF-1)"
,
"Dombemada-KE0057-15G/810-23-ODU-1(RTNRF-1)","Polgahawela-KU0014-15G/810-23-ODU-1(RTNRF-1)"
,
"Chundukkuli_North-JA0123-26G/724-23-ODU-1(RTNRF-1)","Chundukkuli-JA0022-26G/724-23-ODU-1(RTNRF-1)"
,
"Chundukkuli_North-JA0123-26G/724-24-ODU-1(RTNRF-1)","Chundukkuli-JA0022-26G/724-24-ODU-1(RTNRF-1)"
,
"Marawila-PU0009-18G/1316-23-ODU-1(RTNRF-1)","Koswadiya-PU0031-18G/1316-23-ODU-1(RTNRF-1)"
,
"Marawila-PU0009-18G/1316-24-ODU-1(RTNRF-1)","Koswadiya-PU0031-18G/1316-24-ODU-1(RTNRF-1)"
,
"Anuradhapura_DBN-AN0013-23G/1423-23-ODU-1(RTNRF-1)","Kurundankulama_Airtel-AN0063-23G/1423-23-ODU-1(RTNRF-1)"
,
"Anuradhapura_DBN-AN0013-23G/1423-24-ODU-1(RTNRF-1)","Kurundankulama_Airtel-AN0063-23G/1423-24-ODU-1(RTNRF-1)"
,
"Kodikamam-JA0052-18G/900-23-ODU-1(RTNRF-1)","Mirusuvil-JA0055-18G/900-23-ODU-1(RTNRF-1)"
,
"Kodikamam-JA0052-18G/900-24-ODU-1(RTNRF-1)","Mirusuvil-JA0055-18G/900-24-ODU-1(RTNRF-1)"
,
"Alaweddi-JA0028-18G/1163-23-ODU-1(RTNRF-1)","Chunnakam_DTP-JA0011-18G/1163-23-ODU-1(RTNRF-1)"
,
"Alaweddi-JA0028-18G/1163-24-ODU-1(RTNRF-1)","Chunnakam_DTP-JA0011-18G/1163-24-ODU-1(RTNRF-1)"
,
"Katana_Dialog-GM0024-18G/1775-23-ODU-1(RTNRF-1)","Dagonna_Dialog-GM0165-18G/1775-23-ODU-1(RTNRF-1)"
,
"Kahatagasdigili_Town-AN0014-11G/284-23-ODU-1(RTNRF-1)","Welimuwapothana-AN0106-11G/284-23-ODU-1(RTNRF-1)"
,
"Kahatagasdigili_Town-AN0014-11G/284-24-ODU-1(RTNRF-1)","Welimuwapothana-AN0106-11G/284-24-ODU-1(RTNRF-1)"
,
"Battaramulla-CM0127-26G/1484-23-ODU-1(RTNRF-1)","Battaramulla_Suntel-CM0128-26G/1484-23-ODU-1(RTNRF-1)"
,
"Melsiripura_South-KU0268-23G/1696-23-ODU-1(RTNRF-1)","Melsiripura-KU0010-23G/1696-23-ODU-1(RTNRF-1)"
,
"NAWALA_NORTH-CM0073-26G/1534-HY-23-ODU-1(RTNRF-1)","NAWALA_SCL_LN-CM0934-26G/1534-HY-23-ODU-1(RTNRF-1)"
,
"Kalapoomy-JA0141-18G/1794-23-ODU-1(RTNRF-1)","MOOLAI-JA0045-18G/1794-23-ODU-1(RTNRF-1)"
,
"Sandalankawa-KU0015-18G/898-23-ODU-1(RTNRF-1)","Wekada-PU0029-18G/898-23-ODU-1(RTNRF-1)"
,
"Jetwing_Sea_Indoor-GM0402-23G/1563-23-ODU-1(RTNRF-1)","Kochchikade-GM0030-23G/1563-23-ODU-1(RTNRF-1)"
,
"Jetwing_Sea_Indoor-GM0402-23G/1563-24-ODU-1(RTNRF-1)","Kochchikade-GM0030-23G/1563-24-ODU-1(RTNRF-1)"
,
"Giriulla-KU0019-18G/761-23-ODU-1(RTNRF-1)","Diyagampola-GM0187-18G/761-23-ODU-1(RTNRF-1)"
,
"Giriulla-KU0019-18G/761-24-ODU-1(RTNRF-1)","Diyagampola-GM0187-18G/761-24-ODU-1(RTNRF-1)"
,
"Kannakuda-BA0052-15G/949-23-ODU-1(RTNRF-1)","Kattankudy-BA0004-15G/949-23-ODU-1(RTNRF-1)"
,
"Korathota-CM0345-23G/908-23-ODU-1(RTNRF-1)","Athurugiriya-CM0002-23G/908-23-ODU-1(RTNRF-1)"
,
"Korathota-CM0345-23G/908-24-ODU-1(RTNRF-1)","Athurugiriya-CM0002-23G/908-24-ODU-1(RTNRF-1)"
,
"Ethungahakotuwa-KU0104-18G/1579-23-ODU-1(RTNRF-1)","Koshena-KU0103-18G/1579-23-ODU-1(RTNRF-1)"
,
"Thalladi-MA0004-11G/255-23-ODU-1(RTNRF-1)","Arippu-MA0016-11G/255-23-ODU-1(RTNRF-1)"
,
"Mabima-GM0170-18G/1967-HY-23-ODU-1(RTNRF-1)","KADAWATA_STH-GM0126-18G/1967-HY-23-ODU-1(RTNRF-1)"
,
"Mabima-GM0170-18G/1967-HY-24-ODU-1(RTNRF-1)","KADAWATA_STH-GM0126-18G/1967-HY-24-ODU-1(RTNRF-1)"
,
"Union_Place-CM0175-23G/1745-HY-23-ODU-1(RTNRF-1)","Welikada_Slt-CM0869-23G/1745-HY-23-ODU-1(RTNRF-1)"
,
"Union_Place-CM0175-23G/1745-HY-25-ODU-1(RTNRF-1)","Welikada_Slt-CM0869-23G/1745-HY-25-ODU-1(RTNRF-1)"
,
"Bristol_Street_Suntel-CM1144-26G/899-23-ODU-1(RTNRF-1)","Wimaladharma-CM0180-26G/899-23-ODU-1(RTNRF-1)"
,
"Narammala-KU0011-18G/892-23-ODU-1(RTNRF-1)","Bihalpola-KU0077-18G/892-23-ODU-1(RTNRF-1)"
,
"Narammala-KU0011-18G/892-24-ODU-1(RTNRF-1)","Bihalpola-KU0077-18G/892-24-ODU-1(RTNRF-1)"
,
"Negampaha_SLT-AN0076-13G/974-23-ODU-1(RTNRF-1)","Kekirawa_Dialog-AN0009-13G/974-23-ODU-1(RTNRF-1)"
,
"Minuwangete-KU0067-13G/913-23-ODU-1(RTNRF-1)","Hiriyala-KU0245-13G/913-23-ODU-1(RTNRF-1)"
,
"Chunnakam_DTP-JA0011-18G/1165-23-ODU-1(RTNRF-1)","Ilavalai-JA0044-18G/1165-23-ODU-1(RTNRF-1)"
,
"Chunnakam_DTP-JA0011-18G/1165-24-ODU-1(RTNRF-1)","Ilavalai-JA0044-18G/1165-24-ODU-1(RTNRF-1)"
,
"Chundikkulam-JA0084-13G/942-23-ODU-1(RTNRF-1)","Dharmapuram-KI0034-13G/942-23-ODU-1(RTNRF-1)"
,
"Ambakandavila-PU0066-18G/1667-23-ODU-1(RTNRF-1)","Chilaw_South-PU0090-18G/1667-23-ODU-1(RTNRF-1)"
,
"British_Council-CM1300-26G/1408-23-ODU-1(RTNRF-1)","McLarence_Buildng_IBS-CM0745-26G/1408-23-ODU-1(RTNRF-1)"
,
"British_Council-CM1300-26G/1408-24-ODU-1(RTNRF-1)","McLarence_Buildng_IBS-CM0745-26G/1408-24-ODU-1(RTNRF-1)"
,
"Imbulgoda-GM0017-18G/1294-23-ODU-1(RTNRF-1)","Thewatta_East-GM0461-18G/1294-23-ODU-1(RTNRF-1)"
,
"Valvetithurai_East-JA0130-23G/806-23-ODU-1(RTNRF-1)","Valvetithurai-JA0016-23G/806-23-ODU-1(RTNRF-1)"
,
"Valvetithurai_East-JA0130-23G/806-24-ODU-1(RTNRF-1)","Valvetithurai-JA0016-23G/806-24-ODU-1(RTNRF-1)"
,
"Nattandiya-PU0020-18G/1441-23-ODU-1(RTNRF-1)","Dunkannawa-PU0052-18G/1441-23-ODU-1(RTNRF-1)"
,
"Nattandiya-PU0020-18G/1441-25-ODU-1(RTNRF-1)","Dunkannawa-PU0052-18G/1441-25-ODU-1(RTNRF-1)"
,
"Gonawala-GM0014-23G/693-23-ODU-1(RTNRF-1)","Gonawala_South-GM0169-23G/693-23-ODU-1(RTNRF-1)"
,
"Galgamuwa_DTL-KU0096-13G/893-23-ODU-1(RTNRF-1)","Mahananneriya-KU0242-13G/893-23-ODU-1(RTNRF-1)"
,
"Trinco_DBN-TR0066-23G/620-23-ODU-1(RTNRF-1)","Trinco_Hospital-TR0093-23G/620-23-ODU-1(RTNRF-1)"
,
"Rasnayakapura-KU0127-18G/844-23-ODU-1(RTNRF-1)","Medawakkulama-PU0058-18G/844-23-ODU-1(RTNRF-1)"
,
"Kimbulgoda-GM0232-18G/752-23-ODU-1(RTNRF-1)","Belummahara-GM0058-18G/752-23-ODU-1(RTNRF-1)"
,
"Kimbulgoda-GM0232-18G/752-24-ODU-1(RTNRF-1)","Belummahara-GM0058-18G/752-24-ODU-1(RTNRF-1)"
,
"Padavi_SIRIPURA-TR0005-18G/1712-23-ODU-1(RTNRF-1)","Galkulama_KANDA-AN0115-18G/1712-23-ODU-1(RTNRF-1)"
,
"Kandana-GM0020-26G/1201-23-ODU-1(RTNRF-1)","Welisara-GM0102-26G/1201-23-ODU-1(RTNRF-1)"
,
"Bandawa-KU0336-18G/1891-23-ODU-1(RTNRF-1)","Hondella-KU0121-18G/1891-23-ODU-1(RTNRF-1)"
,
"Kokuwil-JA0014-23G/1421-23-ODU-1(RTNRF-1)","Kokuwil_South-JA0101-23G/1421-23-ODU-1(RTNRF-1)"
,
"Kokuwil-JA0014-23G/1421-24-ODU-1(RTNRF-1)","Kokuwil_South-JA0101-23G/1421-24-ODU-1(RTNRF-1)"
,
"Nattandiya-PU0020-18G/1750-23-ODU-1(RTNRF-1)","Walahapitiya-PU0088-18G/1750-23-ODU-1(RTNRF-1)"
,
"Anaiwasal-PU0185-15G/943-23-ODU-1(RTNRF-1)","Palliwasalthurai-PU0073-15G/943-23-ODU-1(RTNRF-1)"
,
"Galoya_Junction_Airtel-PO0067-15G/964-23-ODU-1(RTNRF-1)","Yakawanguwa_Mobitel-PO0073-15G/964-23-ODU-1(RTNRF-1)"
,
"Enderamulla-GM0009-23G/1517-23-ODU-1(RTNRF-1)","Hunupitiya_N-GM0071-23G/1517-23-ODU-1(RTNRF-1)"
,
"Enderamulla-GM0009-23G/1517-24-ODU-1(RTNRF-1)","Hunupitiya_N-GM0071-23G/1517-24-ODU-1(RTNRF-1)"
,
"Havelock-CM0140-26G/911-23-ODU-1(RTNRF-1)","Thimbirigasyay_North-CM0321-26G/911-23-ODU-1(RTNRF-1)"
,
"Havelock-CM0140-26G/911-24-ODU-1(RTNRF-1)","Thimbirigasyay_North-CM0321-26G/911-24-ODU-1(RTNRF-1)"
,
"Nikawatawana-MT0019-15G/868-23-ODU-1(RTNRF-1)","Sigiriya-MT0009-15G/868-23-ODU-1(RTNRF-1)"
,
"Arachchikattuwa-PU0002-18G/1627-23-ODU-1(RTNRF-1)","Baththulu_Oya-PU0025-18G/1627-23-ODU-1(RTNRF-1)"
,
"Asgiriwalpola-GM0292-23G/1437-23-ODU-1(RTNRF-1)","Asgiriya-GM0003-23G/1437-23-ODU-1(RTNRF-1)"
,
"Mandawala_North-GM0303-23G/594-23-ODU-1(RTNRF-1)","Mandawala-GM0112-23G/594-23-ODU-1(RTNRF-1)"
,
"Kekirawa-AN0009-15G/622-23-ODU-1(RTNRF-1)","Vijithapura-AN0051-15G/622-23-ODU-1(RTNRF-1)"
,
"Ragama-GM0042-23G/1504-23-ODU-1(RTNRF-1)","Elapitiwala_Airtel-GM0289-23G/1504-23-ODU-1(RTNRF-1)"
,
"Ragama-GM0042-23G/1504-24-ODU-1(RTNRF-1)","Elapitiwala_Airtel-GM0289-23G/1504-24-ODU-1(RTNRF-1)"
,
"Polonnaruwa North-PO0046-13G/907-23-ODU-1(RTNRF-1)","Minneriya_Dialog-PO0010-13G/907-23-ODU-1(RTNRF-1)"
,
"Polonnaruwa North-PO0046-13G/907-24-ODU-1(RTNRF-1)","Minneriya_Dialog-PO0010-13G/907-24-ODU-1(RTNRF-1)"
,
"Chankanai-JA0010-18G/1629-23-ODU-1(RTNRF-1)","Mathagal-JA0099-18G/1629-23-ODU-1(RTNRF-1)"
,
"Chankanai-JA0010-18G/1629-24-ODU-1(RTNRF-1)","Mathagal-JA0099-18G/1629-24-ODU-1(RTNRF-1)"
,
"Kottapitiya-PO0028-15G/801-23-ODU-1(RTNRF-1)","Bakamuna-PO0011-15G/801-23-ODU-1(RTNRF-1)"
,
"Manipai-JA0005-23G/885-23-ODU-1(RTNRF-1)","Walikamam-JA0058-23G/885-23-ODU-1(RTNRF-1)"
,
"Grandpass_North-CM0028-26G/787-23-ODU-1(RTNRF-1)","Kotahena-CM0148-26G/787-23-ODU-1(RTNRF-1)"
,
"Grandpass_North-CM0028-26G/787-24-ODU-1(RTNRF-1)","Kotahena-CM0148-26G/787-24-ODU-1(RTNRF-1)"
,
"MALABE_SOUTH-CM0424-18G/1786-23-ODU-1(RTNRF-1)","Pore-CM0981-18G/1786-23-ODU-1(RTNRF-1)"
,
"Sandalankawa-KU0015-15G/598-23-ODU-1(RTNRF-1)","Katukenda_North-GM0426-15G/598-23-ODU-1(RTNRF-1)"
,
"Gonahena_East-GM0319-18G/808-23-ODU-1(RTNRF-1)","Kadawatha_South-GM0126-18G/808-23-ODU-1(RTNRF-1)"
,
"Gonahena_East-GM0319-18G/808-24-ODU-1(RTNRF-1)","Kadawatha_South-GM0126-18G/808-24-ODU-1(RTNRF-1)"
,
"Polonnaruwa_DBN-PO0060-18G/1631-23-ODU-1(RTNRF-1)","Polonnaruwa_NORTH-PO0046-18G/1631-23-ODU-1(RTNRF-1)"
,
"Polonnaruwa_DBN-PO0060-18G/1631-24-ODU-1(RTNRF-1)","Polonnaruwa_NORTH-PO0046-18G/1631-24-ODU-1(RTNRF-1)"
,
"Seruwila-TR0026-13G/989-23-ODU-1(RTNRF-1)","Lankapatuna-TR0041-13G/989-23-ODU-1(RTNRF-1)"
,
"Nachchaduwa_Hutch-AN0132-18G/1565-23-ODU-1(RTNRF-1)","Galkulama-AN0023-18G/1565-23-ODU-1(RTNRF-1)"
,
"Nachchaduwa_Hutch-AN0132-18G/1565-24-ODU-1(RTNRF-1)","Galkulama-AN0023-18G/1565-24-ODU-1(RTNRF-1)"
,
"Barandana-KU0088-18G/1892-23-ODU-1(RTNRF-1)","Kavisigamuwa-KU0339-18G/1892-23-ODU-1(RTNRF-1)"
,
"Angulana-CM0492-26G/846-23-ODU-1(RTNRF-1)","Katubedda-CM0145-26G/846-23-ODU-1(RTNRF-1)"
,
"Angulana-CM0492-26G/846-24-ODU-1(RTNRF-1)","Katubedda-CM0145-26G/846-24-ODU-1(RTNRF-1)"
,
"Hekiththa-GM0016-23G/1340-23-ODU-1(RTNRF-1)","Mabole_Zone-GM0548-23G/1340-23-ODU-1(RTNRF-1)"
,
"Kokuvil_Town-JA0020-23G/1621-23-ODU-1(RTNRF-1)","Kokuvil_Dialog-JA0014-23G/1621-23-ODU-1(RTNRF-1)"
,
"Elvitigala-CM0138-26G/1310-23-ODU-1(RTNRF-1)","Military_Hospital_IBS-CM1304-26G/1310-23-ODU-1(RTNRF-1)"
,
"Elvitigala-CM0138-26G/1310-24-ODU-1(RTNRF-1)","Military_Hospital_IBS-CM1304-26G/1310-24-ODU-1(RTNRF-1)"
,
"Hirallugama_Mobitel-AN0215-11G/454-23-ODU-1(RTNRF-1)","Punewa_Dialog-AN0029-11G/454-23-ODU-1(RTNRF-1)"
,
"Uppuweli-TR0018-18G/1321-23-ODU-1(RTNRF-1)","Trinco_DBN-TR0066-18G/1321-23-ODU-1(RTNRF-1)"
,
"Uppuweli-TR0018-18G/1321-24-ODU-1(RTNRF-1)","Trinco_DBN-TR0066-18G/1321-24-ODU-1(RTNRF-1)"
,
"Meegaswewa -PO0034-13G/877-23-ODU-1(RTNRF-1)","Medirigiriya Town - PO0008-13G/877-23-ODU-1(RTNRF-1)"
,
"Kahatagasdigili_Town-AN0014-13G/876-23-ODU-1(RTNRF-1)","Rathmalgahawewa-AN0048-13G/876-23-ODU-1(RTNRF-1)"
,
"Pothuhera-KU0025-18G/1435-23-ODU-1(RTNRF-1)","Panagamuwa-KU0170-18G/1435-23-ODU-1(RTNRF-1)"
,
"Pothuhera-KU0025-18G/1435-25-ODU-1(RTNRF-1)","Panagamuwa-KU0170-18G/1435-25-ODU-1(RTNRF-1)"
,
"Kimbulapitiya_East Relocation-GM0668-15G/942-23-ODU-1(RTNRF-1)","Dunagaha Dialog-GM0067-15G/942-23-ODU-1(RTNRF-1)"
,
"Batuwatta_Relocation-GM0682-18G/1727-23-ODU-1(RTNRF-1)","Ragama-GM0042-18G/1727-23-ODU-1(RTNRF-1)"
,
"Batuwatta_Relocation-GM0682-18G/1727-24-ODU-1(RTNRF-1)","Ragama-GM0042-18G/1727-24-ODU-1(RTNRF-1)"
,
"Makewita ETI-GM0133-18G/1910-23-ODU-1(RTNRF-1)","Ganemulla DAP-GM0013-18G/1910-23-ODU-1(RTNRF-1)"
,
"Hekitta-GM0016-26G/1303-23-ODU-1(RTNRF-1)","Lansiyawatta-GM0374-26G/1303-23-ODU-1(RTNRF-1)"
,
"Hekitta-GM0016-26G/1303-24-ODU-1(RTNRF-1)","Lansiyawatta-GM0374-26G/1303-24-ODU-1(RTNRF-1)"
,
"Galoluwa-GM0633-18G/1550-23-ODU-1(RTNRF-1)","Minuwangoda-GM0035-18G/1550-23-ODU-1(RTNRF-1)"
,
"Galoluwa-GM0633-18G/1550-24-ODU-1(RTNRF-1)","Minuwangoda-GM0035-18G/1550-24-ODU-1(RTNRF-1)"
,
"Sandilipay_Town-JA0115-18G/738-23-ODU-1(RTNRF-1)","Chankanai-JA0010-18G/738-23-ODU-1(RTNRF-1)"
,
"Nallur-JA0029-23G/1034-23-ODU-1(RTNRF-1)","Nallur_North-JA0097-23G/1034-23-ODU-1(RTNRF-1)"
,
"Balalla-KU0068-15G/901-23-ODU-1(RTNRF-1)","Diwullegoda-KU0164-15G/901-23-ODU-1(RTNRF-1)"
,
"Polonnaruwa_DBN-PO0060-15G/947-23-ODU-1(RTNRF-1)","Ambangaga-PO0126-15G/947-23-ODU-1(RTNRF-1)"
,
"Gardiner_Mawatha-CM0191-26G/1330-23-ODU-1(RTNRF-1)","Galle_Face_Army-CM0022-26G/1330-23-ODU-1(RTNRF-1)"
,
"Gardiner_Mawatha-CM0191-26G/1330-24-ODU-1(RTNRF-1)","Galle_Face_Army-CM0022-26G/1330-24-ODU-1(RTNRF-1)"
,
"Maruthodai-VA0022-11G/291-23-ODU-1(RTNRF-1)","Oddusudan_DTL-MU0022-11G/291-23-ODU-1(RTNRF-1)"
,
"Maruthodai-VA0022-11G/291-24-ODU-1(RTNRF-1)","Oddusudan_DTL-MU0022-11G/291-24-ODU-1(RTNRF-1)"
,
"Danduwewa-KU0167-18G/1626-23-ODU-1(RTNRF-1)","Nikaweratiya-KU0012-18G/1626-23-ODU-1(RTNRF-1)"
,
"Danduwewa-KU0167-18G/1626-24-ODU-1(RTNRF-1)","Nikaweratiya-KU0012-18G/1626-24-ODU-1(RTNRF-1)"
,
"Kalagedihena-GM0023-23G/629-23-ODU-1(RTNRF-1)","Bogamuwa-GM0210-23G/629-23-ODU-1(RTNRF-1)"
,
"Anuradhapura_Suntel-AN0002-23G/1375-23-ODU-1(RTNRF-1)","Nuwarawewa-AN0110-23G/1375-23-ODU-1(RTNRF-1)"
,
"Peniketiyawa-TR0053-15G/929-23-ODU-1(RTNRF-1)","Morawewa_Dialog-TR0024-15G/929-23-ODU-1(RTNRF-1)"
,
"Depanama-CM0017-26G/927-23-ODU-1(RTNRF-1)","Pannipitiya-CM0087-26G/927-23-ODU-1(RTNRF-1)"
,
"Depanama-CM0017-26G/927-24-ODU-1(RTNRF-1)","Pannipitiya-CM0087-26G/927-24-ODU-1(RTNRF-1)"
,
"Bamunukotuwa-KU0102-13G/478-23-ODU-1(RTNRF-1)","Siyambalagahakotuwa-KU0256-13G/478-23-ODU-1(RTNRF-1)"
,
"Bamunukotuwa-KU0102-13G/478-24-ODU-1(RTNRF-1)","Siyambalagahakotuwa-KU0256-13G/478-24-ODU-1(RTNRF-1)"
,
"Handala-GM0015-23G/913-23-ODU-1(RTNRF-1)","Elakanda-GM0068-23G/913-23-ODU-1(RTNRF-1)"
,
"Handala-GM0015-23G/913-24-ODU-1(RTNRF-1)","Elakanda-GM0068-23G/913-24-ODU-1(RTNRF-1)"
,
"Peellawatta-GM0117-23G/1351-23-ODU-1(RTNRF-1)","Peellawatta_North-GM0263-23G/1351-23-ODU-1(RTNRF-1)"
,
