"Source1","Source2"
"Jaffna_SLT-JA0003-23G/1036-24-ODU-1(RTNRF-1)","Jaffna_Temple_Rd-JA0034-23G/1036-24-ODU-1(RTNRF-1)"
,
"Uppuweli-TR0018-26G/1218-23-ODU-1(RTNRF-1)","Chaaya_Blu_Ind-TR0098-26G/1218-23-ODU-1(RTNRF-1)"
,
"Uppuweli-TR0018-26G/1218-24-ODU-1(RTNRF-1)","Chaaya_Blu_Ind-TR0098-26G/1218-24-ODU-1(RTNRF-1)"
,
"Negombo_N-GM0094-23G/1484-23-ODU-1(RTNRF-1)","Katuwapitiya-GM0037-23G/1484-23-ODU-1(RTNRF-1)"
,
"Kala_Traders-CM0260-26G/1318-23-ODU-1(RTNRF-1)","Sri_Dhamma_Mw-CM0316-26G/1318-23-ODU-1(RTNRF-1)"
,
"Kolonnawa_North-CM0793-26G/597-23-ODU-1(RTNRF-1)","Kolonnawa-CM0050-26G/597-23-ODU-1(RTNRF-1)"
,
"PARISOTTAKANDAL-MA0042-18G/1743-23-ODU-1(RTNRF-1)","SILAWATHUREI-MA0018-18G/1743-23-ODU-1(RTNRF-1)"
,
"Mandawala-GM0112-18G/784-23-ODU-1(RTNRF-1)","Pugoda-GM0092-18G/784-23-ODU-1(RTNRF-1)"
,
"Mandawala-GM0112-18G/784-24-ODU-1(RTNRF-1)","Pugoda-GM0092-18G/784-24-ODU-1(RTNRF-1)"
,
"Horton_Place-CM0653-26G/1246-23-ODU-1(RTNRF-1)","Colombo_7_NCC_Suntel-CM0131-26G/1246-23-ODU-1(RTNRF-1)"
,
"Kadawatha-GM0022-18G/602-23-ODU-1(RTNRF-1)","Kadawatha_North-GM0127-18G/602-23-ODU-1(RTNRF-1)"
,
"Kadawatha-GM0022-18G/602-24-ODU-1(RTNRF-1)","Kadawatha_North-GM0127-18G/602-24-ODU-1(RTNRF-1)"
,
