Site ID,Suntel ID,Site Name,Site Address,District,Province,Latitude-x,Longitude-x,Latitude,Longitude
CM0754,,Vauxhall Street South Dialog [Relocation],"235,VAUXHALL STREET, COLOMBO -02",Colombo,Western,6-55-18,79-51-32,6.921667,79.858889
VA0001,VNY/001,Vavuniya DBN,"Kugan Motor Stores, 110, Bazzar Street, Vavuniya",Vavnia,Northern,8-45-17,80-29-59,8.75473,80.4998
VA0039,,Vavuniya Hospital Dialog,General Hospital Vavuniya.,Vavnia,Northern,8-45-38,80-29-59,8.76065,80.4998
VA0013,,Vavuniya SLAF,Vavniya SLAF Camp,Vavnia,Northern,8-44-22,80-29-55,8.739444,80.498611
VA0002,,Vavuniya Town Dialog,"Vasanthi Logge,Kandy Road.Vauniya",Vavnia,Northern,8-45-6,80-29-51,8.7518,80.4976
VA0008,,Vavuniya West Dialog,"NO66,Station ROAD,Vairawapuliyankulam,Vauniya",Vavnia,Northern,8-45-21,80-29-30,8.75587,80.4918
AN0211,,Vedenigama Etisalat,"Eti Tower, Vedinigama, Senapura.",Anuradapura,NorthCentral,8-4-60,80-29-6,8.083333,80.485
MA0022,,Vedithalathive Mobitel,"Commando Training Camp, Sri Lanka Army, Vedithalathive.",Mannar,Northern,8-59-18,80-6-20,8.988333,80.105556
VA0045,,Vedivaittakallu Dialog,"SLA, 623 Brigade, Wedivachchikallu",Vavnia,Northern,8-56-23,80-41-23,8.93981,80.6898
JA0018,,Velanai Lankabell,"Vagalawady Junction, Kayts Road, Velani.",Jaffna,Northern,9-38-24,79-54-3,9.63988,79.9008
MU0012,,Vellamullivaikkal Mobitel,"Mobitel Tower,681 Brrigede, Sri Lanka Army, Vellamullivaikkal.",Mulathive,Northern,9-19-12,80-46-46,9.32,80.779444
VA0034,,Vellankulam SLA,"SLA Camp, Vellankulam.",Vavnia,Northern,8-48-9,80-20-26,8.8025,80.340556
CM0479,,Veluwana Road Dialog,"78 ,Ghanavimala Mawatha, Dematagoda",Colombo,Western,6-55-43,79-52-60,6.92851,79.8832
JA0016,,Velvettithurai Dialog,"Nadunkeny Lane, Velvetty, Velvettithurai, Jaffna.",Jaffna,Northern,9-48-55,80-10-12,9.8153,80.1699
MA0035,,Veppankulam Dialog,"Periyamripu Road, Veppankulam",Mannar,Northern,8-47-20,80-0-35,8.788889,80.009722
VA0015,,Veppankulam Vavuniya Dialog,"6th Lane,Mannar Road,Veppankulam,Vauniya.",Vavnia,Northern,8-45-59,80-28-21,8.766389,80.4725
TR0029,,Verugal Dialog,"Waththawan, Mawadichena, Verugal.",Trincomalee,Eastern,8-16-36,81-22-13,8.276667,81.370278
TR0061,,Verugal North Mobitel,"Mobitel Tower, Punagar Echalanpattu.",Trincomalee,Eastern,8-17-34,81-20-33,8.292778,81.3425
CM0375,,Veverset Place Dialog,"Provisix International (Pvt) Ltd, International Buddhist Centre Rd, Colombo-06",Colombo,Western,6-52-11,79-51-41,6.869722,79.861389
GM0048,,Veyangoda Dialog,"No.21, Banduragoda Road, Veyangoda",Gampaha,Western,7-9-29,80-3-17,7.15794,80.0547
CM0739,,Victoria Tower IBS,"No 66, Park street, colombo-2",Colombo,Western,6-54-56,79-51-34,6.915556,79.859444
MA0044,,Vidattaltivu West Dialog,pallamadu junction vidaththalthiv,Mannar,Northern,9-0-39,80-3-39,9.010833,80.060833
MA0053,,Vidattaltivu_East Dialog,"A/42, Periyamadu East,Periyamadu.",Mannar,Northern,8-58-35.48,80-9-19.92,8.976522,80.155533
HA0077,,Viharagala Mobitel,"Alioluwa Unit Manager's Office,Mahaweli Authority,Viharagala,Sooriyawewa.",Hambantota,Southern,6-16-55,80-58-26,6.281944,80.973889
PO0051,,Vijayabapura Mobitel,"Block Manager Office,Vijayabapura.",Polonnaruwa,NorthCentral,7-49-22,81-11-12,7.822778,81.186667
AN0051,,Vijithapura Mobitel,"258/E, Kappalgama, Kalawewa, Vijithapura",Anuradapura,NorthCentral,8-1-16,80-31-27,8.021111,80.524167
KA0045,,Vilanaudagama Mobitel,"Ankumbura Mobitel Tower, Rambukella, Vilanagama",Kandy,Central,7-25-55,80-35-10,7.43202,80.5861
CM1127,,Vinayalankara Mawatha Dialog,"No-304, Deans Road, Colombo-10",Colombo,Western,6-55-17,79-51-51,6.92145,79.8642
PU0076,,Viruthodai Dialog,"Dialog Tower, Mukkuthoduwawa, Madurankuliya.",Puttlam,NorthWestern,7-54-41,79-46-4,7.91143,79.7679
CM0117,,Vishaka Road Dialog,"No.235, Galle Road, Col-04",Colombo,Western,6-53-21,79-51-25,6.889167,79.856944
GM0448,KUN/001,Vishakawatta DBN [Ekala],"40,1ST LANE, VISHAKAWATTHA, EKALA, JAELA.",Gampaha,Western,7-5-39,79-54-37,7.09409,79.9104
KI0053,,Vishwamadu Dialog,"4th SLNG, Sri Lanka Army, Vishwamadu",Kilinochchi,Northern,9-23-14,80-33-51,9.387222,80.564167
HA0033,,Vitharandeniya Dialog,"""Polkoratuwa"" Rote Road, Vitharandeniya.",Hambantota,Southern,6-5-14,80-47-18,6.08731,80.7882
CM1153,COL/025,Vivekananda Hill DBN,"No 17, VIVEKANANDA HILL, COLOMBO 13",Colombo,Western,6-56-33,79-51-32.3,6.9425,79.858972
CM1059,,Vivekananda Hill Dialog,"No-66, Vivekananda Hill, Colombo-13.",Colombo,Western,6-56-39,79-51-33,6.9441,79.8591
CM0466,,Vivekananda Hill North Dialog,"No-124A, Vivekananda Hill, Colombo-13",Colombo,Western,6-56-44,79-51-30,6.9455,79.8584
CM1155,COL/027,WAD Ramanayake Mawatha DBN [SEC Bld],"SEC No 130,WAD Ramanayake Mawatha,Colombo 02.",Colombo,Western,6-54-53,79-51-22,6.914722,79.856111
KU0086,,Wadakada Dialog,"Kadurugolla, Habarawa, Wadakada.",Kurunegala,NorthWestern,7-23-53,80-16-16,7.39804,80.271
KL0015,WAD/001,Wadduwa DBN,"Kelaniyawatte, Kuda Wadduwa, Wadduwa.",Kaluthara,Western,6-39-52,79-56-22,6.664444,79.939444
KL0016,,Wadduwa North Dialog,"Thalpitiya South, Wadduwa.",Kaluthara,Western,6-40-29,79-55-34,6.674722,79.926111
AM0024,,Wadinagala Dialog,"No.71/1, 17th Junction, Wadinagala, Ampara.",Ampara,Eastern,7-7-48,81-34-20,7.12993,81.5723
KE0204,,Wadukanda Mobitel,"Mobitel Tower,Weragoda,Beligalla.",Kegalle,Sabaragamuwa,7-16-22.8,80-16-58.8,7.273,80.283
CM0234,,Waga Dialog,"226,Ihalamabula,Waga",Colombo,Western,6-54-2,80-8-20,6.90064,80.1388
MT0025,,Wahakotte Dialog,"Neerangamuwe, Elamalpotha, Wahakotte",Matale,Central,7-42-16,80-35-25,7.70436,80.5903
AN0094,,Wahalkada Hutch,"D4, Wahalkada",Anuradapura,NorthCentral,8-45-43,80-50-49,8.761944,80.846944
AN0171,,Wahamalgollewa Mobitel,"No.994, Wahamalgollewa",Anuradapura,NorthCentral,8-29-24,80-30-39,8.49,80.510833
PU0012,,Waikkala Dialog,"Station road,Waikkala",Puttlam,NorthWestern,7-16-37,79-51-39,7.276944,79.860833
GA0147,,Wakwella Mobitel,"Bangala Watta, Hapugala, Wakwella",Galle,Southern,6-4-25,80-11-36,6.0735,80.1933
GA0093,,Wakwella Road Dialog,"No.141, Wakwella Road, Galle.",Galle,Southern,6-2-24,80-12-55,6.04,80.215278
KA0176,,Walagedara Lankabell,"Hagurugama Estate , Sadasiri dunuvila, Madamahanuwara.",Kandy,Central,7-15-7,80-50-15,7.251944,80.8375
GA0015,GAL/008,Walahanduwa DBN,"Walahandoowa Estate, Galle",Galle,Southern,6-3-4,80-16-24,6.051111,80.273333
PU0088,,Walahapitiya Mobitel,"Mobitel Tower,Galwala Rd,Ihala Walahapitiya,Nattandiya.",Puttlam,NorthWestern,7-26-34.4,79-52-2.37,7.442889,79.867325
MR0158,,Walakanda Etisalat,"kumbalagodagamge watta,kandugasdeniya,Urugamuwa.",Matara,Southern,6-1-2.28,80-39-45.26,6.0173,80.662572
KE0240,,Walakumbura Airtel,"Airtel Tower,Thambewila,Alawwa.",Kegalle,Sabaragamuwa,7-18-45.78,80-16-21.36,7.312717,80.2726
KU0034,,Walakumbura Dialog,"Airtel Tower, Japan Watta, Thmabarawila, Alawwa.",Kurunegala,NorthWestern,7-18-46,80-16-21,7.312778,80.2725
KA0159,,Walala Etisalat,"Napana, Menikhinna",Kandy,Central,7-19-20,80-41-4,7.322222,80.684444
KL0124,,Walallawita Dialog,"Kekunagoda Kanda,Muduwagala,Pitigala Rd,Walallawita.",Kaluthara,Western,6-22-26,80-11-55,6.373889,80.198611
KL0154,,Walana Mobitel,"Dhammananda Mawatha,Panadura.",Kaluthara,Western,6-43-46,79-54-33,6.72956,79.9091
NU0100,WAL/001,Walapane DBN,"Thannehenwala, Kumbalgamuwa",NuwaraEliya,Central,7-6-51,80-51-36,7.114167,80.86
NU0023,,Walapane Dialog,"Welipitawatta, Kubalgamuwa, Walapane",NuwaraEliya,Central,7-6-49,80-51-36,7.113611,80.86
GM0438,,Walapitamulla Etisalat,Etisalat Tower Walpitamulla.,Gampaha,Western,7-9-41,80-1-22,7.161389,80.022778
