Site ID,Suntel ID,Site Name,Site Address,District,Province,Latitude-x,Longitude-x,Latitude,Longitude
CM1309,,10th Lane Dialog,"No 01, 10th lane colombo 03",Colombo,Western,6-53-57,79-51-6,6.899167,79.851667
CM0944,,189 Residencies IBS,"Baseline Road, Colombo 08",Colombo,Western,6-55-25,79-52-39,6.923611,79.8775
CM0623,,1st Cross Street Dialog,"No: 76, Keyzer Street, Col-11",Colombo,Western,6-56-12,79-51-3,6.936667,79.850833
CM0677,,1st Cross Street South Dialog,"No-65, 1st Cross Street, Colombo-11.",Colombo,Western,6-56-7,79-51-4,6.935278,79.851111
CM1156,COL/029,2nd Cross Street DBN,"169,2nd cross Street Pettah",Colombo,Western,6-56-16,79-50-60,6.937778,79.85
CM0862,,2nd Cross Street Dialog,"No-106, 2nd Cross Street, Colombo-11.",Colombo,Western,6-56-12,79-51-8,6.936667,79.852222
CM0669,,3rd Cross Street Dialog,"No-70/72, 3rd Cross Street, Colombo-11",Colombo,Western,6-56-14,79-51-10,6.937222,79.852778
CM5006,,42nd Lane Lamp,"ESLL Lamp Pole Site, In Front of 42nd Lane, Colombo- 06",Colombo,Western,6-52-.93,79-51-32.71,6.866925,79.859086
CM0667,,4th Cross Street Dialog,"No-128, 4th Cross Street, Colombo-11.",Colombo,Western,6-56-14,79-51-12,6.937222,79.853333
CM1274,,7th Sense IBS,"7th Sense,No 18,Gregories Road,Colombo 07.",Colombo,Western,6-54-33,79-52-9,6.909167,79.869167
JA0066,,Aanakkoddai MTU,"Manipai Aanakoddai, Aanakkoddai, Jaffna.",Jaffna,Northern,9-42-2,79-59-52,9.700556,79.997778
CM1158,COL/035,Abans DBN,"498, Galle Road, Colombo 03",Colombo,Western,6-55-17,79-50-53,6.921389,79.848056
CM0025,,Abans Dialog,"No.498, Galle Road, Colombo 03",Colombo,Western,6-54-13,79-51-7,6.903611,79.851944
ICM0025,,Abans IBS,"No.498, Galle Road, Colombo 03",Colombo,Western,6-54-13,79-51-7,6.903611,79.851944
TR0097,,Abayapura Hutch,"No.52, Abayarama Mw, Abayapura",Trincomalee,Eastern,8-35-31,81-12-54,8.591944,81.215
CM0446,,Aberathna Mawatha Dialog,"No-2B/24, Pubudu Mw, Borelesgamuwa",Colombo,Western,6-50-17,79-53-54,6.838056,79.898333
RA0019,,Aberfoyle DBN,"Aberfoyle Estate, Sooriyakanda",Ratnapura,Sabaragamuwa,6-27-16,80-37-18,6.454444,80.621667
CM0123,,Access Dialog,"278, Union Place, Colombo 02",Colombo,Western,6-55-12,79-51-26,6.92,79.857222
ICM0123,,Access IBS,"278, Union Place, Colombo 02",Colombo,Western,6-55-12,79-51-26,6.92,79.857222
CM1417,,Access towers 2 Indoor,"Access Tower 2,Dawson Street. Colombo 2.",Colombo,Western,6-52-12,79-51-27,6.87,79.8575
JA0017,,Achchuweli MTU,"Hospital Road, Achchuweli South, Achchuweli.",Jaffna,Northern,9-46-14,80-6-50,9.770556,80.113889
JA0135,,Achchuweli Town Airtel,"Achchuweli North, Achchuweli , Jaffna",Jaffna,Northern,9-46-42,80-7-4,9.778333,80.117778
JA0191,,Achchuweli Town Airtel Relocation,"sannathi rd,achchuwely.",Jaffna,Northern,9-46-48,80-7-2,9.78,80.117222
GM0201,,Active Line Katunayaka Dialog,"MAS Active (Pvt) Ltd, Active, Phase-11, IPZ,Katunayake",Gampaha,Western,7-9-53,79-52-57,7.164722,79.8825
XX0100,,Adampan COW [Temp],"Dialog Temporary Tower, Adampan.",Mannar,Northern,0-0-0,0-0-0,0,0
MA0027,,Adampan Mobitel,"Mobitel Tower,Main Street,Adampan.",Mannar,Northern,8-56-32,79-59-51,8.942222,79.9975
AM0046,,Addaippaliam Dialog,"No 157, Coop Road, Nindavur 09.",Ampara,Eastern,7-20-28,81-51-24,7.341111,81.856667
AM0022,,Addalachchanai Dialog,"No-58A, Navaladi Road, Addalachchenai-14.",Ampara,Eastern,7-14-26,81-51-21,7.240556,81.855833
NU0069,,Adikarigama Hutch,"No-70, Adhikaragama, Gonaganthenna.",NuwaraEliya,Central,7-12-57,80-46-45,7.215833,80.779167
IHA0094,,Admin Complex IBS,"Administrative Complex, Siribopura, Hambantota",Hambantota,Southern,6-9-57,81-7-34,6.165833,81.126111
HA0094,,Admin Complex Outdoor Dialog,"Administrative Complex, Siribopura, Hambantota",Hambantota,Southern,6-9-57,81-7-34,6.165833,81.126111
KL0067,,Agalawatta Etisalat [Relocation],,Kaluthara,Western,6-32-3,80-9-33,6.534167,80.159167
KL0038,,Agalawattha Dialog,"No-48, Kaluthara Rd, Agalawatta.",Kaluthara,Western,6-32-29,80-9-13,6.541389,80.153611
GA0107,,Agaliya Dialog,"""Mottakanda""Agaliya North,Baddegama.",Galle,Southern,6-12-8,80-11-2,6.202222,80.183889
NU0033,,Agarapathana Etisalat,"Field No 07,St.George estate,Hautvill Group,Agarapathana.",NuwaraEliya,Central,6-52-29,80-41-51,6.874722,80.6975
JA0132,,AGBO Dialog,"SLNS, Agbo, Mathgal, Jaffna",Jaffna,Northern,9-47-4,79-56-16,9.784444,79.937778
TR0023,,Agbopura Dialog,"No-235, Agbopura",Trincomalee,Eastern,8-18-31,80-59-28,8.308611,80.991111
CM0425,,Aggona Dialog,"517A, Aggona, Angoda",Colombo,Western,6-54-57,79-55-24,6.915833,79.923333
CM0492,,Agulana Dialog,"No-212, Agulana Station Rd, Kaldamulla, Moratuwa.",Colombo,Western,6-47-59,79-52-36,6.799722,79.876667
GA0016,,Ahangama Dialog,"Veheragoda Purana Viharaya, Midigama, Ahangama",Galle,Southern,5-58-11,80-23-15,5.969722,80.3875
GA0067,,Ahangama Town Dialog,"No.06, Jinananda Mawatha, Karadugoda, Ahangama",Galle,Southern,5-58-43,80-21-51,5.978611,80.364167
GM0236,,Ahugammana Dialog,"No-119/1, Halummahara, Dekatana.",Gampaha,Western,6-59-22,80-2-28,6.989444,80.041111
GA0001,,Ahungalla Dialog,"Middaramulla, Ahungalla.",Galle,Southern,6-18-32,80-2-11,6.308889,80.036389
CM1886,,AIA HO Colombo Indoor,"No 92, AIA Tower Dharampala mawatha Colombo 03",Colombo,Western,6-54-46,79-51-22,6.912778,79.856111
CM0734,,Airforce HQ IBS,"P.O.Box 594, Colombo-02",Colombo,Western,6-55-41,79-51-5,6.928056,79.851389
GM0010,FTZ/001,Airport FTZ Dialog,"Export Processing Zone, Katunayake",Gampaha,Western,7-10-15,79-53-44,7.170833,79.895556
GM0353,,Airport Garden Hotel Dialog,"No.234, Negombo Rd, Seeduwa, SL",Gampaha,Western,7-8-44,79-52-19,7.145556,79.871944
IGM0353,,Airport Garden Hotel IBS,"No.234, Negombo Rd, Seeduwa, SL",Gampaha,Western,7-8-44,79-52-19,7.145556,79.871944
GM0002,,Airport Junction Dialog,"Dehena Educational Institute, 184, Col-Neg Rd, Air",Gampaha,Western,7-9-26,79-52-15,7.157222,79.870833
CM0700,,Aitken Spence IBS,"Vauxhall Street, Colombo-02,",Colombo,Western,6-55-12,79-51-38,6.92,79.860556
CM0763,,Aitken Spence Towers IBS,"315, Vauxhall Street, Colombo-02,",Colombo,Western,6-55-15,79-51-37,6.920833,79.860278
CM0743,,Akbar Dialog,"Akbar Brothers Bldg. T. B. Jayah Mw, Colombo 02",Colombo,Western,6-55-21,79-51-37,6.9225,79.860278
ICM0743,,Akbar IBS,"Akbar Brothers Bldg. T. B. Jayah Mw, Colombo 02",Colombo,Western,6-55-21,79-51-37,6.9225,79.860278
CM0181,,Akbar Mawatha Dialog,"No 119, Justice Akbar Mawatha,Colombo 02.",Colombo,Western,6-55-26,79-51-4,6.923889,79.851111
CM1072,,Akbar Mw Dialog [Relocation],"No-88, Justice Akber Mawatha ,Colombo-02",Colombo,Western,6-55-25,79-51-1,6.923611,79.850278
AM0115,AKK/001,Akkaraipaththu DBN,"Sri Wijayarama Maha Viharaya,Pothuvil Road,Akkaraipattuwa",Ampara,Eastern,7-12-58,81-51-5,7.216111,81.851389
AM0119,,Akkaraipaththu North Airtel,"Paradeshiya Saba, Akkaraipattu.",Ampara,Eastern,7-13-51,81-50-53,7.230833,81.848056
AM0072,,Akkaraipattu East Dialog,"Deen's Road, Akkaraipattu",Ampara,Eastern,7-13-13,81-51-21,7.220278,81.855833
AM0183,,Akkaraipattu Main Street Lankabell,"LB site, No. 65/B, CEB Road, Akkaraipatthu 1",Ampara,Eastern,7-13-17,81-51-1,7.22152,81.8504
AM0001,,Akkaraipattu SLT,"SLT Towers, Akkaraipattu",Ampara,Eastern,7-12-58,81-50-56,7.216111,81.848889
AM0021,,Akkaraipattu Town Dialog,"Main Road, Akkaraipattu",Ampara,Eastern,7-13-27,81-51-1,7.224167,81.850278
GM0444,,Akkarapanaha Etisalat,"No 260/A,Kimbulapitiya Rd,Akkara 50.",Gampaha,Western,7-12-13,79-51-54,7.203611,79.865
MU0056,,Akkarayankulam East Mobitel,"Mobitel Tower,7,SLNC Briged HQ,SL Army.Akkarayamkulam",Mulathive,Northern,9-18-23,80-20-47,9.306389,80.346389
KI0021,,Akkarayankulam Mobitel,"652 Brigade Headquarters, Sri Lanka Army, Akkarayankulam",Kilinochchi,Northern,9-18-36,80-15-59,9.31,80.266389
AM0057,,Akkarayapattu West Airtel,"Sigaya Rice Mill,Rice Mill Rd,Pallikuduirrupu",Ampara,Eastern,7-13-36,81-49-36,7.226667,81.826667
GA0019,,Akmeemana Dialog,"Ranasinghe watte, Ganamulla, Akmeemana",Galle,Southern,6-4-44,80-17-24,6.078889,80.29
GA0088,,Akmeemana West Dialog,"Wolter Freedom Estate, Ganegoda, Akmeemana",Galle,Southern,6-5-11,80-14-43,6.086389,80.245278
KA0001,,Akurana Dialog,"Kurundugahawela, Akurana.",Kandy,Central,7-21-44,80-37-26,7.362222,80.623889
KA0147,,Akurana North Dialog,"No.668/2, Malwanahena, Akurana",Kandy,Central,7-22-36,80-36-59,7.376667,80.616389
KA0121,AKR/002,Akurana Town DBN,"115/A, Udaweliketiya, Akurana",Kandy,Central,7-21-51,80-37-2,7.364167,80.617222
CM0941,,Akuregoda Airtel,"No 277,Akuregoda, Thalangama, Battaramulla.",Colombo,Western,6-53-42,79-56-24,6.895,79.94
CM0914,,Akuregoda East Dialog,"No.970/1/F Pothuarawa Road, Thalangama North, Malambe",Colombo,Western,6-53-39,79-56-41,6.894167,79.944722
CM0900,,Akuregoda North Dialog,"No 627/2-A, Muththettugoda Road, Thalangama North, Thalangama",Colombo,Western,6-54-17,79-56-31,6.904722,79.941944
MR0095,,Akuressa Dialog,"""Kalavalgoda"" Watta, Kalavalgoda Road, Akuressa.",Matara,Southern,6-6-14,80-28-27,6.103889,80.474167
MR0001,,Akuressa SLT,"Sri Lanka Telecom Ltd., Deniyaya Road, Akuressa",Matara,Southern,6-6-20,80-28-27,6.105556,80.474167
MR0045,,Akuressa South Dialog,"""Peellahena"", Malawva, Paraduwa, Akuressa",Matara,Southern,6-4-37,80-28-23,6.076944,80.473056
KA0021,,Aladeniya Dialog,"No.4, Kurundugolla, Werellagama, Kandy.",Kandy,Central,7-19-48,80-34-1,7.33,80.566944
MU0035,,Alampil North Dialog,"24th SLSR HQ , Sri Lanka Army, Alampi",Mulathive,Northern,9-10-11,80-51-20,9.169722,80.855556
PU0164,ALK/001,Alankuda DBN,,Puttlam,NorthWestern,0-0-0,0-0-0,0,0
PU0170,,Alankuda Dialog,"Ilanthadiya Road,Off Halpitiya,Norochchole.",Puttlam,NorthWestern,8-2-52,79-42-53,8.047778,79.714722
MR0072,,Alapaladeniya Mobitel,"""Hakuru Kanda"",Eedadukitha,Alapaladeniya.",Matara,Southern,6-17-54,80-26-45,6.298333,80.445833
JA0129,,Alavai East Dialog,"Puwatkarai, Puloly West, Point Pedro, Jaffna",Jaffna,Northern,9-49-32,80-13-17,9.825556,80.221389
GM0166,,Alawala Dialog,"No. 18/3, Karasnagala, Alawala, Veyangoda.",Gampaha,Western,7-7-4,80-10-18,7.117778,80.171667
KE0225,,Alawatatha Mobitel,"Mobitel tower,Rajagalkanda,Alawwa.",Kegalle,Sabaragamuwa,7-16-15.9,80-14-58.4,7.271083,80.249556
KA0022,AWG/001,Alawathugoda Mobitel,"Bangalamuduna, Arambepola, Alawathugoda.",Kandy,Central,7-23-33,80-36-49,7.3925,80.613611
KA0084,,Alawathugoda South Dialog,"Rathkohodigala, Udadigala, Akurana",Kandy,Central,7-22-56,80-38-13,7.382222,80.636944
JA0028,,Alawatti MTU,"Alukkai, Alawatti East, Alawatti",Jaffna,Northern,9-46-13,80-0-43,9.770278,80.011944
JA0164,,Alaweddi Town Airtel,"Airtel Tower,Alaweddi west,Alaweddai.",Jaffna,Northern,9-45-60,80-0-8,9.766667,80.002222
KU0279,,Alawwa Dialog [Relocation],"Sririsewana,kodaapaluwa,Alawwa",Kurunegala,NorthWestern,7-17-41,80-14-39,7.294722,80.244167
KU0017,,Alawwa Etisalat,"Celltel Tower, Narammala Road,Alawwa",Kurunegala,NorthWestern,7-17-53,80-14-9,7.298056,80.235833
KU0302,ALW/001,Alawwa Mobitel,"Kochchiyawatta, Main Street, Alawwa",Kurunegala,NorthWestern,7-17-41,80-14-40,7.294722,80.244444
KU0090,,Alawwa West Dialog,"Udaha Gedara, Humbuluwa, Alawwa",Kurunegala,NorthWestern,7-18-43,80-11-54,7.311944,80.198333
CM0522,,Albert Cresent Dialog,No 29/4/A Guilford Crescent colombo 07,Colombo,Western,6-54-31,79-51-48,6.908611,79.863333
CM0220,,Alexandra Place Dialog,"67, Alexandra Place, Col-07",Colombo,Western,6-54-45,79-51-55,6.9125,79.865278
CM0737,,Alfred House IBS,"528,R.A.De mel Mw,Colombo-3",Colombo,Western,6-53-54,79-51-21,6.898333,79.855833
KE0086,,Algama Dialog,"Wadugehena, Medagama, Algama",Kegalle,Sabaragamuwa,7-9-58,80-9-57,7.166111,80.165833
AN0141,,Aliyamalagala SLT,"SLT Tower, Aliyamalagala.",Anuradapura,NorthCentral,7-56-41,80-29-54,7.944722,80.498333
JA0095,,Allaipiddy Dialog,"Ward No.02, Allaippiddy, Jaffna",Jaffna,Northern,9-37-19,79-58-3,9.621944,79.9675
JA0158,,Allarai Dialog,"Panigalayaya Kanda, Udugama south, Udugama.",Jaffna,Northern,9-40-1,80-11-20,9.666944,80.188889
CM5001,,Aloe Av Lamp,"ESLL Lampole site, in front of Aloe Av, Colombo-03",Colombo,Western,6-54-18.02,79-50-59.82,6.905006,79.84995
CM0550,,Alubogahalanda Dialog,"No-33, ""Somasandasiri"", Kahanthota Rd, Malabe",Colombo,Western,6-53-54,79-58-17,6.898333,79.971389
CM0864,,Alubogahalanda North Dialog,"Hotel Rasanga, 114/3B, Kahanthota Rd, Malambe",Colombo,Western,6-54-26,79-58-32,6.907222,79.975556
KL0017,,Alubomulla Dialog,"Sri Sudarshanaramaya, Walawwaththa, Alubomulla",Kaluthara,Western,6-42-28,79-56-56,6.707778,79.948889
RA0144,,Alupola Etisalat,"Etisalat Tower, Kekillakele Estate, Balakotunna Road, Wewalwatta.",Ratnapura,Sabaragamuwa,6-42-13,80-34-52,6.703611,80.581111
MO0066,,Alupotha Airtel,"Alupotha, Badalkubura.",Monaragala,Uva,6-53-40,81-12-37,6.894444,81.210278
XX0205,,Aluth Malkaduwawa Dialog,"No 482, Saappuwatta, Gepallawa, Uhumeeya.",Kurunegala,NorthWestern,7-28-0,80-19-15,7.466667,80.320833
GM0262,,Aluthepola Etisalat,"No-140, Aluthpola, Dunagaha.",Gampaha,Western,7-12-32,79-57-54,7.208889,79.965
KL0155,,Aluthgama Beach Airtel,"Airtel Tower, ""Ruwangiri"" ,Kaluwamodara, Aluthgama",Kaluthara,Western,6-26-11,79-59-44,6.436389,79.995556
KL0001,,Aluthgama Dialog,"Nakandara Road, Aluthgama",Kaluthara,Western,6-26-29,80-1-26,6.441389,80.023889
KL0195,ALG/001,Aluthgama Hutch,"Menachchikanda, Darga Town, Aluthgama.",Kaluthara,Western,6-26-11,80-1-0,6.436389,80.016667
KL0095,,Aluthgama Meegama Dialog,"Hangarangoda, Meegama, Mathugama",Kaluthara,Western,6-26-17,80-3-35,6.438056,80.059722
KL0018,,Aluthgama Town Dialog,"186/B, Galle Road, Aluthgama.",Kaluthara,Western,6-25-53,79-59-57,6.431389,79.999167
HA0128,,Aluthgoda Dialog,"Deuramvehera, Thanamalvila.",Hambantota,Southern,6-23-17,81-10-7,6.388056,81.168611
PO0018,,Aluthoya Dialog,"No-241, Aluthoya, Singhagama, Aluthoya.",Polonnaruwa,NorthCentral,8-14-24,80-54-15,8.24,80.904167
PO0119,,Aluthoya north Mobitel,"391.kiyhul utuwa,agbopura.",Polonnaruwa,NorthCentral,8-17-16,80-56-3,8.287778,80.934167
MT0042,,Aluthwewa Dialog,"Aluthwewa, Bambaragasyaya, Galewela",Matale,Central,7-47-53,80-31-13,7.798056,80.520278
JA0027,,Alvai Airtel,"Alvai West,Alvai.",Jaffna,Northern,9-49-25,80-12-13,9.823611,80.203611
CM0426,COL/041,Alwis Place Dialog,"No-57, Dharmapala Mw, Colombo-03.",Colombo,Western,6-54-46,79-51-13,6.912778,79.853611
CM1074,,Alwis Terrace Dialog [Alwis place Relocation],"No-30, Alvis Place, Colombo-03",Colombo,Western,6-54-54,79-51-13,6.915,79.853611
GM0584,,Alwis Town Dialog,"No 112/1 6th lane,Alwis Town,Handala,Wattala.",Gampaha,Western,6-59-29.5,79-53-9.6,6.991528,79.886
GM0334,,Amandoluwa MTU,"No 7/212,Pete Av,Baseline Rd,Amandoluwa,Seeduwa.",Gampaha,Western,7-8-34,79-53-4,7.142778,79.884444
HA0115,,Amanwella Tangalle Dialog,,Hambantota,Southern,6-0-22,80-46-39,6.006111,80.7775
CM1435,,Amarathunge Mawatha Etisalath,"No-50, Kumbukgahapokuna road, Udahamulla, Nugegoda",Colombo,Western,6-51-54.4,79-55-10,6.865111,79.919444
GA0229,,Amari Hotel Indoor,"No 523c, Galle road, Gintota, Galle",Galle,Southern,6-3-7,80-10-52,6.051944,80.181111
KA0165,,Amaya Hills Dialog,"P.O.Box 16, Heerassagala, Kandy.",Kandy,Central,7-15-33,80-37-10,7.259167,80.619444
IKA0165,,Amaya Hills IBS,"P.O.Box 16, Heerassagala, Kandy.",Kandy,Central,7-15-33,80-37-10,7.259167,80.619444
PU0066,,Ambakandawila Dialog,"No 14/A, Ambakandawila, Chilaw",Puttlam,NorthWestern,7-31-20,79-47-45,7.522222,79.795833
AM0054,,Ambalamoya Lankabell,"No 18/123,Mahanagapura,Manthottam",Ampara,Eastern,7-8-22,81-42-40,7.139444,81.711111
GA0179,ABG/001,Ambalangoda DBN,"Purana Subadrarama Maha Viharaya, Karattakanda, Ambalngoda (Galle District)",Galle,Southern,6-21-39,80-1-12,6.360833,80.02
GA0002,,Ambalangoda Dialog,"12/2, Kalawadumulla, Ambalangoda",Galle,Southern,6-14-41,80-3-41,6.244722,80.061389
GA0085,,Ambalangoda Town SLT,"SLT, Regional Office, Ambalangoda",Galle,Southern,6-14-5,80-3-17,6.234722,80.054722
GM0124,,Ambalanmulla Dialog,"S.M.L. Engineering works, 195, Negombo Road, Ambal",Gampaha,Western,7-7-11,79-52-45,7.119722,79.879167
GM0801,,Ambalanmulla North Airtel,103/C Charach Road Bandarawatha Seeduwa,Gampaha,Western,7-7-19,79-52-47,7.12203,79.8798
HA0001,,Ambalantota Dialog,"No.177, Tangalle Road, Tawaluwila, Ambalantota.",Hambantota,Southern,6-7-16,81-0-56,6.121111,81.015556
HA0121,ABT/001,Ambalantota Etisalat,"Tawaluwila, Ambalantota",Hambantota,Southern,6-7-11,81-1-0,6.119722,81.016667
GM0527,,Ambana Mobitel,"Mobitel tower, ""Amana"" Lamaniwasa Rd, Ambana state, Meerigama.",Gampaha,Western,7-14-22,80-7-9,7.239444,80.119167
PO0126,,Ambanganga Dialog,"No 20,Viwekaramagama,Parakarama samudraya,Polonaruwa.",Polonnaruwa,NorthCentral,7-52-20,80-58-32,7.872222,80.975556
KU0027,,Ambanpola Dialog,"Anuradhapura Rd, Ambanpola",Kurunegala,NorthWestern,7-55-4,80-14-30,7.917778,80.241667
CM0182,,Ambatale Dialog,"65/A/11,Weliwitte,kaduwella",Colombo,Western,6-56-20,79-57-9,6.938889,79.9525
KA0083,,Ambathenna Dialog,"Kossgolla watta, Ambathenna, Kandy",Kandy,Central,7-21-3,80-37-0,7.350833,80.616667
KL0108,,Ambepitiya Dialog,"Ambepitiya, Beruwala.",Kaluthara,Western,6-28-26,79-59-58,6.473889,79.999444
KE0019,,Ambepussa Mobitel,"Kudumiriya Nawa Mawatha, Ambepussa, Warakapola",Kegalle,Sabaragamuwa,7-14-23,80-12-33,7.239722,80.209167
NU0017,,Ambewela Mobitel,"Pitot Project, Ambewela",NuwaraEliya,Central,6-52-58,80-47-59,6.882778,80.799722
MT0106,,Ambul Ambe Mobitel,"Mobitel Tower, Karadagollewa, Ambul Ambe.",Matale,Central,7-47-57,80-37-55,7.799167,80.631944
CM0368,,Ambulgama Dialog,"Dombagahawatta, Ambulgama, Ranala",Colombo,Western,6-54-22,80-3-15,6.906111,80.054167
KA0252,GAP/003,Ambuluwawa DBN,"Ambuluwawa Kanda, Gampola",Kandy,Central,7-9-43,80-32-51,7.161944,80.5475
KA0023,,Ambuluwawa Dialog,"Ambuluwawa Kanda, Sinhapitiya, Gampola",Kandy,Central,7-9-43,80-32-51,7.161944,80.5475
KE0022,,Amithirigala Dialog,"Amithirigala North, Amithirigala",Kegalle,Sabaragamuwa,7-1-59,80-10-40,7.033056,80.177778
AM0008,,Ampara Dialog,"Jummah Mosque, Buttangala Road, Ampara",Ampara,Eastern,7-17-38,81-40-49,7.293889,81.680278
AM0118,,Ampara East Airtel,"L100/1, New Town, Ampara.",Ampara,Eastern,7-17-40,81-41-21,7.294444,81.689167
AM0035,AMP/001,Ampara North DBN,"D.S. Senanayaka Road, Ampara",Ampara,Eastern,7-18-15,81-40-29,7.304167,81.674722
AM0002,,Ampara SLT,"SLT Tower, Ampara",Ampara,Eastern,7-17-53,81-40-31,7.298056,81.675278
AM0129,,Ampara Town [Relocation],"T.K.S.Building,Regal Junction,Ampara.",Ampara,Eastern,7-17-27,81-40-30,7.290833,81.675
AM0052,,Ampara Town Dialog,"No-149, Independence Avenue, Ampara.",Ampara,Eastern,7-17-31,81-40-30,7.291944,81.675
GA0047,,Ampegama Dialog,"Gulana Kanda, Mahapansala Road, Ampegama",Galle,Southern,6-11-36,80-9-1,6.193333,80.150278
MU0031,,Ampekamam Mobitel,"Mobitel Tower. 7 Signal Unit, Sri Lanka Army, Ampekamam",Mulathive,Northern,9-13-30,80-29-2,9.225,80.483889
MU0083,,Ampekamam Training School Mobitel,"SLA Ampekamam Training school,old kandy Rd Karuppuddamurippu",Mulathive,Northern,9-11-37,80-31-9,9.193611,80.519167
KA0002,KAY/011,Ampitiya DBN [Meekanuwa],"Semanery Estate,Meekanuwa, Ampitiya",Kandy,Central,7-16-33,80-39-52,7.275833,80.664444
KA0119,,Ampitiya West Dialog,"40/22, Hilpankandura, Ampitiya Road,Kandy",Kandy,Central,7-16-58,80-38-58,7.282778,80.649444
MO0069,,Amunekandura Dialog,"16th Mile Post, Nelligolla Village, Amunekandura, Bakinigahawela",Monaragala,Uva,6-57-16,81-16-47,6.954444,81.279722
GM0233,,Amunukumbura Dialog,"No 161,Kandumulla,Watturagama,Batepola",Gampaha,Western,7-3-12,80-4-7,7.053333,80.068611
RA0177,,Amupitiya Airtel,"Airtel Tower, Amupitiya, Imbulpe, Balangoda",Ratnapura,Sabaragamuwa,6-40-36,80-44-3,6.676667,80.734167
JA0131,,Anaicottai South Dialog,"Manippai Road, Aarukalmadam, Aanakkoddai",Jaffna,Northern,9-41-16,80-0-21,9.687778,80.005833
PU0185,,Anaiwasal Mobitel,"Anaiwasal,Kalpitiya.",Puttlam,NorthWestern,8-15-30,79-46-2,8.258333,79.767222
JA0096,,Analathivu Dialog,"Near the CEB House,Ward No3,Analithive,Jaffna.",Jaffna,Northern,9-40-22.28,79-46-42.89,9.672856,79.778581
PU0001,,Anamaduwa Dialog,"Chilaw Road,Anamaduwa",Puttlam,NorthWestern,7-52-32,80-0-36,7.875556,80.01
PU0158,ANA/001,Anamaduwa Etisalat,"Maitree Stores, Anamaduwa",Puttlam,NorthWestern,7-52-41,80-0-32,7.878056,80.008889
KL0267,,Anantara Kalutara,-,Kaluthara,Western,0-0-0,0-0-0,0,0
BD0020,,Andaulpota Dialog,"Galahitiyawa Road, Andaulpota, Uraniya",Badulla,Uva,7-15-36,81-4-39,7.26,81.0775
CM0628,,Anderson Flats Dialog,"No-49, Chitra Lane, Colombo-05.",Colombo,Western,6-53-23,79-52-18,6.889722,79.871667
CM0001,,Anderson Road Dialog,"No.128A, Anderson Road, Nedimala, Dehiwala",Colombo,Western,6-51-30,79-52-54,6.858333,79.881667
GM0056,,Andiambalama Dialog,"223A, Minuwangoda Road, Andiambalama",Gampaha,Western,7-11-13,79-54-15,7.186944,79.904167
GM0696,,Andiambalama South Mobitel,"No 74 sri Rahula MW,Kovinna,Andiambalama",Gampaha,Western,7-10-34.9,79-54-11.6,7.176361,79.903222
PU0026,,Andigama Dialog,"Anamaduwa Road, Andigama,",Puttlam,NorthWestern,7-46-43,79-56-51,7.778611,79.9475
PU0157,ADG/001,Andigama Mobitel,"Nikaveratiya Road, Andigama",Puttlam,NorthWestern,7-46-25,79-56-53,7.773611,79.948056
AN0065,,Andiyagala Dialog,"Madatugama Road, Andiyagala",Anuradapura,NorthCentral,7-54-11,80-31-39,7.903056,80.5275
KA0137,,Angammana Dialog,"19, Kobbewala, Angammana",Kandy,Central,7-9-31,80-34-59,7.158611,80.583056
PU0078,,Angampitiya Dialog,"Kahatagalawatta, Angampitiya, Waikkala",Puttlam,NorthWestern,7-17-27,79-51-2,7.290833,79.850556
CM0124,HIM/001,Angoda Dialog,"Sri Vivekaramaya, Hanwatte, Hospital Road, Angoda",Colombo,Western,6-55-49,79-55-41,6.930278,79.928056
CM0804,,Angoda North Dialog,"No.454/B/1, Kelanimulla, Angoda",Colombo,Western,6-56-17,79-55-31,6.938056,79.925278
CM0800,,Angoda South Dialog,"No.138/5, Walpola Junction, Angoda",Colombo,Western,6-55-19,79-55-37,6.921944,79.926944
GA0034,,Angulugaha LankaBell,"Lankabell Tower, Kundirippukanda, Angulugaha",Galle,Southern,6-1-47,80-19-35,6.029722,80.326389
HA0013,,Angunakolapalassa Dialog,"Block No.03, No.17, ""Rajagiri"", Angunakolapelessa",Hambantota,Southern,6-10-2,80-53-56,6.167222,80.898889
KA0020,,Angunawala Dialog,"Yalegoda ,Angunawala , Peradeniya",Kandy,Central,7-14-37,80-35-27,7.243611,80.590833
PU0081,,Angunawila Dialog,"Agunawila ,Mundalama",Puttlam,NorthWestern,7-46-27,79-51-39,7.774167,79.860833
KL0036,,Anguruwathota Dialog,"Ampitigala, Anguruwathota",Kaluthara,Western,6-28-46,79-59-15,6.479444,79.9875
KL0136,,Anguruwathota Mobitel,"Remunakannda, Anguruwatota",Kaluthara,Western,6-40-4,80-4-1,6.667778,80.066944
KE0021,RUW/001,Anguruwella Mobitel,"Doranuwa Kanda, Anguruwella, Ruwanwella.",Kegalle,Sabaragamuwa,7-3-6,80-15-50,7.0518,80.2638
MR0153,,Ani Villas Dickwella Outdoor Dialog,"Ani Villas Kalukatiya watta Road,Maaliyadda.",Matara,Southern,5-57-27,80-39-25,5.9575,80.656944
KA0024,,Aniwaththa Dialog,"65/31 Dodanwala passage ,Galkandawathta ,Aniwathta",Kandy,Central,7-18-2,80-37-29,7.300556,80.624722
