cell_tower_id1,cell_tower_id2,source1_name,source2_name,district1,district2,latitude1,latitude2,longitude1,longitude2,nearest_precip_station,distance,nearest_precip_lat,nearest_precip_long,id_1,id_2,PathLength
CM0134,CM1450,Dehiwala Dialog-CM0134-26G/1479-23-ODU-1(RTNRF-1),Sumanaratna_Mw-CM1450-26G/1479-23-ODU-1(RTNRF-1),Colombo,Colombo,6.854167,6.862778,79.870833,79.875278,Ibattara 2,7.50649671239967,6.908296,79.91918,629,2288,1.071556105753852
GM0027,GM0213,Kelaniya-GM0027-18G/971-23-ODU-1(RTNRF-1),Thambiligasmulla-GM0213-18G/971-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.95735,6.97855,79.9163,79.9376,Ibattara 2,6.652809712169669,6.908296,79.91918,1419,3078,3.32215637709767
CM0567,CM1122,KIRULAPAN_WST-CM0567-26G/1532-HY-24-ODU-1(RTNRF-1),PARK_HOSPITAL-CM1122-26G/1532-HY-24-ODU-1(RTNRF-1),Colombo,Colombo,6.881389,6.88717,79.871667,79.8726,Ibattara 2,5.8386335225707535,6.908296,79.91918,1146,2805,0.6475846968200131
CM0536,CM0174,Bullers_Rd_South-CM0536-23G/1051-26-ODU-1(RTNRF-1),Thursten-CM0174-23G/1051-26-ODU-1(RTNRF-1),Colombo,Colombo,6.898611,6.903611,79.869167,79.8575,Ibattara 2,6.222953055601055,6.908296,79.91918,1073,2732,1.4029797591659197
CM0154,CM0318,Meewella_Dialog-CM0154-26G/844-23-ODU-1(RTNRF-1),Sudharmaramaya_Dialog-CM0318-26G/844-23-ODU-1(RTNRF-1),Colombo,Colombo,6.884444,6.884444,79.858611,79.862778,Ibattara 2,6.981295375069126,6.908296,79.91918,579,2238,0.46054592473599715
CM0586,CM0124,Himbutana_West-CM0586-26G/1185-23-ODU-1(RTNRF-1),Angoda-CM0124-26G/1185-23-ODU-1(RTNRF-1),Colombo,Colombo,6.92234,6.930278,79.9316,79.928056,Ibattara 2,2.313673069911299,6.908296,79.91918,515,2174,0.9612724207125318
CM0158,CM0114,Narahenpita-CM0158-26G/1157-26-ODU-1(RTNRF-1),Torinton-CM0114-26G/1157-26-ODU-1(RTNRF-1),Colombo,Colombo,6.89684,6.899444,79.8767,79.871667,Ibattara 2,5.0981243406643015,6.908296,79.91918,1619,3278,0.62636744261421
CM0424,CM0436,Malabe_South-CM0424-23G/699-23-ODU-1(RTNRF-1),Udumulla_RT-CM0436-23G/699-23-ODU-1(RTNRF-1),Colombo,Colombo,6.894167,6.9274,79.96,79.9407,Ibattara 2,3.4557618826551755,6.908296,79.91918,996,2655,4.249350100961763
CM0025,CM0174,Abans_Ind-CM0025-26G/805-24-ODU-1(RTNRF-1),Thursten-CM0174-26G/805-24-ODU-1(RTNRF-1),Colombo,Colombo,6.903611,6.903611,79.851944,79.8575,Ibattara 2,7.142534369310836,6.908296,79.91918,739,2398,0.6140365605139712
CM0339,CM0334,Boralesgamuwa_West-CM0339-18G/1244-23-ODU-1(RTNRF-1),Werahera-CM0334-18G/1244-23-ODU-1(RTNRF-1),Colombo,Colombo,6.83833,6.82517,79.8948,79.9041,Ibattara 2,8.74159675672914,6.908296,79.91918,1406,3065,1.7817984847393988
